name,company,title,email,phone,whatsapp,telegram_username,industry,company_size,context,source,status
,MEDLAS,,info@medlasclinic.ru,,,,Клиника эстетической медицины,,"Сайт: https://medlasclinic.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://medlasclinic.ru/credentials/,
,ВиТерра,,info@viterramed.ru,,,,Медицинская клиника,,"Сайт: https://viterramed.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://viterramed.ru/contacts/,
,Лечебный центр,,lcinfo@lcenter.ru,,,,Медицинский центр,,"Сайт: https://www.lcenter.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.lcenter.ru/contacts,
,Unimed Laboratories,,info@unimedlab.ru,,,,Медицинская лаборатория,,"Сайт: https://www.unimedlab.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.unimedlab.ru/en/company/contacts/,
,Медиона Парнас,,info@mediona.ru,,,,Многопрофильная клиника,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://mediona.ru/,
,СДК Клиника,,info@sdkclinic.ru,,,,Медицинский центр,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://sdkclinic.ru/,
,NOVI,,info@mynovi.ru,,,,Медицинский центр,,"Сайт: https://mynovi.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://mynovi.ru/kontakty/,
,Prioritet Medical Clinic,,info@prioritetclinic.ru,,,,Медицинская клиника,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://prioritetclinic.ru/,
,УК Усадьба Суханово,,info@usuhanovo.ru,,,,"ЖКХ, обслуживание МКД",,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://uk.usuhanovo.ru/,
,Стиль Эксплуатация,,office@ykstil.ru,,,,Управляющая компания,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://ykstil.ru/,
,УК Столица,,info@ykstolica.ru,,,,Управление недвижимостью,,"Сайт: https://lk.ykstolica.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://lk.ykstolica.ru/contacts/,
,УК ЭТУ,,info@etu25.ru,,,,Управляющая компания ЖКХ,,"Сайт: https://etu25.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://etu25.ru/contacts,
,УК жилищным фондом,,info@ukgfr.ru,,,,Управляющая компания ЖКХ,,"Сайт: https://uk-razumnoe.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://uk-razumnoe.ru/contacts/,
,УО Гранд Парк,,info@uk-Grandpark.ru,,,,Эксплуатация МКД,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://uk-grandpark.ru/,
,УК Жилище-Сервис,,office@comfort-nv.ru,,,,Управляющая компания ЖКХ,,"Сайт: https://comfort-nv.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://comfort-nv.ru/gisgkh/,
,ТСЖ Пирамида,,info@tsgpiramida.ru,,,,"ЖКХ, управление домом",,"Сайт: https://tsgpiramida.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://tsgpiramida.ru/contacts/,
,УК ВиК,,info@ukvik.ru,,,,Управляющая компания ЖКХ,,"Сайт: https://www.ukvik.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.ukvik.ru/kompaniya/kontakty,
,КСМ,,info@ksm.spb.ru,,,,Управление недвижимостью,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://ksm.spb.ru/,
,Take’N’Go,,corp@takengo.ru,,,,Курьерская доставка,,"Сайт: https://takengo.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://takengo.ru/o-nas/kontakty,
,КС Метеор,,77@ksmeteor.ru,,,,Курьерская служба,,"Сайт: https://ksmeteor.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://ksmeteor.ru/contacts,
,Logistic Service,,sale@lslogistic.ru,,,,"Логистика, склад, доставка",,"Сайт: https://www.lslogistic.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.lslogistic.ru/kontakty,
,Логика,,sales@logikatrans.ru,,,,Транспортно-логистическая компания,,"Сайт: https://www.logikatrans.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.logikatrans.ru/kontakty.html,
,FourLogistic,,info@fourlogistic.ru,,,,Грузоперевозки,,"Сайт: https://fourlogistic.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://fourlogistic.ru/contact,
,MoveCargo,,info@movecargo.ru,,,,Логистическая компания,,"Сайт: https://www.movecargo.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.movecargo.ru/ru/contact_us/,
,ПрофРешения,,info@profreshenie.com,,,,Курьерская доставка,,"Сайт: https://www.profreshenie.com/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.profreshenie.com/contacts/,
,LANS-LOGISTIC,,info@lanslogistic.com,,,,Транспортная компания,,"Сайт: https://lanslogistic.com/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://lanslogistic.com/kontakty/,
,Кайт,,info@logkite.ru,,,,Транспортная компания,,"Сайт: https://logkite.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://logkite.ru/kontakty/,
,Последняя Миля,,info@l-mile.ru,,,,Грузоперевозки,,"Сайт: https://l-mile.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://l-mile.ru/contacts,
